id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
837086340248440835,837086340248440835,2017-03-01 23:45:10 UTC,2017-03-01,23:45:10,+0000,25053299,fortunemagazine,FORTUNE,,Tesla is now the highest ranked American auto brand  https://t.co/s142O3CQAC  https://t.co/PJ5pZLvW6f,en,[],['http://for.tn/2muECGP'],['https://pbs.twimg.com/media/C53tltjWgAAQDnq.jpg'],2,52,73,[],[],https://twitter.com/FortuneMagazine/status/837086340248440835,False,,1,https://pbs.twimg.com/media/C53tltjWgAAQDnq.jpg,,,,,,,[],,,,
837067745351110657,837067360653701120,2017-03-01 22:31:17 UTC,2017-03-01,22:31:17,+0000,1202086520,harounkhokhar,Haroun Khokhar,,"@burnie we get it, you drive a tesla",en,[],[],[],0,0,95,[],[],https://twitter.com/HarounKhokhar/status/837067745351110657,False,,0,,,,,,,,"[{'screen_name': 'burnie', 'name': 'Burnie Burns', 'id': '14503124'}]",,,,
837056815674363904,837056815674363904,2017-03-01 21:47:51 UTC,2017-03-01,21:47:51,+0000,3342603327,tedaselectricas,⚡,,"Trafon olayım tırman bana,  prizin olayım otur yanıbaşımda.  - Nikola Tesla",tr,[],[],[],9,79,918,[],[],https://twitter.com/tedaselectricas/status/837056815674363904,False,,0,,,,,,,,[],,,,
836871186873266176,836871186873266176,2017-03-01 09:30:13 UTC,2017-03-01,09:30:13,+0000,1308211178,teslarati,TESLARATI,,Tesla earns highest ranked American car brand by Consumer Reports -  https://t.co/EFJ8xqek42  https://t.co/cdLdoOqlPR,en,[],['http://www.teslarati.com/tesla-highest-ranked-american-car-brand-consumer-reports/'],['https://pbs.twimg.com/media/C50p2MTWcAEp2uo.jpg'],2,43,87,[],[],https://twitter.com/Teslarati/status/836871186873266176,False,,1,https://pbs.twimg.com/media/C50p2MTWcAEp2uo.jpg,,,,,,,[],,,,
836776011391983617,836776011391983617,2017-03-01 03:12:02 UTC,2017-03-01,03:12:02,+0000,367930233,pomeryan,Pomeryan,,Tesla der ki;Bilim insanı hemen sonuç almayı hedeflemez. Görevi gelecek nesil için temeli kurup yönü işaret etmektir.   Gelecek için #hayır  https://t.co/twlVvR7hpS,tr,[],[],['https://pbs.twimg.com/media/C5zTV8hWAAIS0ZO.jpg'],0,16,65,['hayır'],[],https://twitter.com/pomeryan/status/836776011391983617,False,,1,https://pbs.twimg.com/media/C5zTV8hWAAIS0ZO.jpg,,,,,,,[],,,,
836754689840582658,836754689840582658,2017-03-01 01:47:18 UTC,2017-03-01,01:47:18,+0000,2148233600,electrekco,Electrek.co,,"Tesla is named 'top American car brand' by Consumer Reports, Audi and Porsche take global top spots  https://t.co/hAAb5o2zOn  https://t.co/ReHcBdwXum",en,[],['https://electrek.co/2017/02/28/tesla-top-american-car-brand-consumer-reports/'],['https://pbs.twimg.com/media/C5y_4JSWYAEn8D-.jpg'],0,63,161,[],[],https://twitter.com/ElectrekCo/status/836754689840582658,False,,1,https://pbs.twimg.com/media/C5y_4JSWYAEn8D-.jpg,,,,,,,[],,,,
