id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
901561517774163968,901561517774163968,2017-08-26 21:46:30 UTC,2017-08-26,21:46:30,+0000,840286695421595649,autoass,Autoass Media,,Tesla Model S #Wicked ☇  https://t.co/Eabdo2m375,es,[],[],['https://pbs.twimg.com/media/DIL9Y8ZXUAAx9i3.jpg'],0,20,71,['wicked'],[],https://twitter.com/autoass/status/901561517774163968,False,,1,https://pbs.twimg.com/media/DIL9Y8ZXUAAx9i3.jpg,,,,,,,[],,,,
901505099872317440,901505099872317440,2017-08-26 18:02:19 UTC,2017-08-26,18:02:19,+0000,2148233600,electrekco,Electrek.co,,A look at Tesla's latest Autopilot 2.0 software update  https://t.co/ZPEmelt0jK  https://t.co/F41pl2sxeq,en,[],['https://electrek.co/2017/08/26/a-look-at-teslas-latest-autopilot-2-0-software-update/'],['https://pbs.twimg.com/media/DILKDBlVYAA0bas.jpg'],1,29,94,[],[],https://twitter.com/ElectrekCo/status/901505099872317440,False,,1,https://pbs.twimg.com/media/DILKDBlVYAA0bas.jpg,,,,,,,[],,,,
901502444437463045,901502444437463045,2017-08-26 17:51:46 UTC,2017-08-26,17:51:46,+0000,3342603327,tedaselectricas,⚡,,Edison'un ruhu Tesla'nın ruhunun önünde diz çöker tövbe ister.,tr,[],[],[],15,107,1557,[],[],https://twitter.com/tedaselectricas/status/901502444437463045,False,,0,,,,,,,,[],,,,
901489378056323073,901489378056323073,2017-08-26 16:59:51 UTC,2017-08-26,16:59:51,+0000,1308211178,teslarati,TESLARATI,,Tesla adds ‘Passive Entry’ mode to combat vehicle theft by keyless-entry exploit -  https://t.co/oyHxe3rdN3  https://t.co/Wr64xdbMQO,en,[],['http://www.teslarati.com/tesla-passive-entry-ota-update-prevent-keyless-entry-theft/'],['https://pbs.twimg.com/media/DIK7VfFVoAEdCyw.jpg'],5,30,89,[],[],https://twitter.com/Teslarati/status/901489378056323073,False,,1,https://pbs.twimg.com/media/DIK7VfFVoAEdCyw.jpg,,,,,,,[],,,,
901314784502714368,901314784502714368,2017-08-26 05:26:04 UTC,2017-08-26,05:26:04,+0000,582185202,aleshammah,Alejandro Shammah,,El nuevo tejado Solar de Tesla es más barato que un tejado convencional   https://t.co/OTkzf6Sil1  https://t.co/iuV3drnOwa,es,[],['http://bit.ly/2wTFk2y'],['https://pbs.twimg.com/media/DIIdBKDVYAAPq-v.jpg'],1,45,63,[],[],https://twitter.com/aleshammah/status/901314784502714368,False,,1,https://pbs.twimg.com/media/DIIdBKDVYAAPq-v.jpg,,,,,,,[],,,,
901270015017705472,901270015017705472,2017-08-26 02:28:11 UTC,2017-08-26,02:28:11,+0000,55525953,pinboard,Pinboard,,A full supply chain analysis of Tesla energy use needs to include the electricity used by fanboys tweeting a fawning defense of Elon Musk,en,[],[],[],3,30,77,[],[],https://twitter.com/Pinboard/status/901270015017705472,False,,0,,,,,,,,[],,,,
901238166237069313,901235573683343361,2017-08-26 00:21:37 UTC,2017-08-26,00:21:37,+0000,44196397,elonmusk,Elon Musk,,"@Techmeme Tesla does not really have ""TTunes"". That's a joke.",en,[],[],[],59,98,1005,[],[],https://twitter.com/elonmusk/status/901238166237069313,False,,0,,,,,,,,"[{'screen_name': 'Techmeme', 'name': 'Techmeme', 'id': '817386'}]",,,,
