id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1221436601273765888,1221436601273765888,2020-01-26 14:15:53 UTC,2020-01-26,14:15:53,+0000,1689516060,vincent13031925,vincentyu.eth,,Tesla's Secret Weapon in Focus: How an Army of Enthusiasts is Disrupting the Auto Industry 【Video】  $TSLA #Tesla   ⚠️ Highly recommended ⚠️   https://t.co/E7yTi8rHfJ,en,[],['https://www.tesmanian.com/blogs/tesmanian-blog/teslas-secret-weapon-in-focus-how-an-army-of-enthusiasts-is-disrupting-the-auto-industry'],[],7,58,360,['tesla'],['tsla'],https://twitter.com/vincent13031925/status/1221436601273765888,False,,0,,,,,,,,[],,,,
1221434345233117184,1221434345233117184,2020-01-26 14:06:55 UTC,2020-01-26,14:06:55,+0000,14829533,redban,brian redban,,So much @Tesla - @AndrewYang gets it.   https://t.co/8Wo7Hid9Mf,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'andrewyang', 'name': 'andrew yang🧢⬆️🇺🇸', 'id': '2228878592'}]",['https://youtu.be/qC1veCZXzx8'],[],4,9,47,[],[],https://twitter.com/redban/status/1221434345233117184,False,,0,,,,,,,,[],,,,
1221433282514079744,1221433282514079744,2020-01-26 14:02:42 UTC,2020-01-26,14:02:42,+0000,1002616999267262465,troyteslike,Troy Teslike,,"I wish somebody would ask Elon the following question at the conference call:   If Tesla deliveries exceed half a million units this year, should we expect 700,000 units next year and 1 million units in 2022?",en,[],[],[],39,8,116,[],[],https://twitter.com/TroyTeslike/status/1221433282514079744,False,,0,,,,,,,,[],,,,
1221431608496087040,1221431608496087040,2020-01-26 13:56:03 UTC,2020-01-26,13:56:03,+0000,1203353022698590209,montana_skeptic,Montana Skeptic,,"In case it wasn't clear, no one will protect you from $TSLA fraud. Not the SEC, not any Twitter sitter, and certainly not the grossly negligent &amp; deeply conflicted Tesla Board of Directors. The only protection is educating yourself. Start with $tslaq.  https://t.co/HwY6LcDlbN",en,[],['https://seekingalpha.com/instablog/1017993-bill-maurer/5401154-tesla-cant-be-twitter-sitter'],[],4,11,94,[],"['tsla', 'tslaq']",https://twitter.com/montana_skeptic/status/1221431608496087040,False,,0,,,,,,,,[],,,,
1221428952914452480,1221428952914452480,2020-01-26 13:45:30 UTC,2020-01-26,13:45:30,+0000,1100485705178828800,cantoremichael,"J. Michael Cantore III, CRPC®",,Tesla has accelerated its Semi development so that there will be limited release in 2020 $TSLA  https://t.co/FlllqP4uIi,en,[],['https://seekingalpha.com/article/4319029-teslas-sweet-timing-on-bev-truck'],[],3,45,270,[],['tsla'],https://twitter.com/CantoreMichael/status/1221428952914452480,False,,0,,,,,,,,[],,,,
1221422227742253056,1221422227742253056,2020-01-26 13:18:46 UTC,2020-01-26,13:18:46,+0000,382491577,gonzalormdt,Lord Gonzi,,"Mandan saludos Jonas Salk, Norman Borlaug, Nikola Tesla, Elon Musk, Thomas Alva Edison, Bill Gates, Steve Jobs, Douglas Engelbart, Larry Page, Sergéi Brin, Isaac Newton...",cy,[],[],[],12,17,121,[],[],https://twitter.com/GonzaloRMDT/status/1221422227742253056,False,https://twitter.com/CheMendele/status/1221284351683547136,0,,,,,,,,[],,,,
1221414333504094210,1221414333504094210,2020-01-26 12:47:24 UTC,2020-01-26,12:47:24,+0000,43922847,ridwanhr,Ridwan Hanif,,"Hyundai Ioniq ini unik, baterainya paling kecil, tapi diclaim sebagai mobil listrik paling efisien  Di tes di australia lawan Tesla Model 3 dan Nissan Leaf  Sama2 full, setelah jalan 34km, ternyata sisanya paling banyak sisa baterainya 😁  https://t.co/RgrW0xdl1K",in,[],[],['https://pbs.twimg.com/media/EPNV2AJUEAQvvGB.jpg'],17,35,141,[],[],https://twitter.com/ridwanhr/status/1221414333504094210,False,,1,https://pbs.twimg.com/media/EPNV2AJUEAQvvGB.jpg,,,,,,,[],,,,
1221408934608756736,1221408934608756736,2020-01-26 12:25:57 UTC,2020-01-26,12:25:57,+0000,2842420593,aperezyt,Alejandro Pérez,,Si no cuidamos nuestro entorno más cercano da igual que nos compremos un Tesla sin emisiones muy eco-friendly de 50000 euros  https://t.co/IRyqvkjfAK,es,[],[],['https://pbs.twimg.com/media/EPNQ6bJW4AIGjga.jpg'],8,46,176,[],[],https://twitter.com/aPerezYT/status/1221408934608756736,False,,1,https://pbs.twimg.com/media/EPNQ6bJW4AIGjga.jpg,,,,,,,[],,,,
1221405435472703488,1221405435472703488,2020-01-26 12:12:03 UTC,2020-01-26,12:12:03,+0000,1100520274200416256,tesmanian_com,Tesmanian.com,,Tesla's Secret Weapon in Focus: How an Army of Enthusiasts is Disrupting the Auto Industry  https://t.co/qHWbNrayve  https://t.co/NUsvBcV8Bk,en,[],['http://dlvr.it/RNmrzM'],['https://pbs.twimg.com/media/EPNNxT3VUAEg23z.jpg'],3,28,126,[],[],https://twitter.com/Tesmanian_com/status/1221405435472703488,False,,1,https://pbs.twimg.com/media/EPNNxT3VUAEg23z.jpg,,,,,,,[],,,,
1221392523383406599,1221392523383406599,2020-01-26 11:20:44 UTC,2020-01-26,11:20:44,+0000,1182582278,hukumdan,HUKUM MILIK PENGUASA,,Anda cuma menggunakan thermo scane udah sesumbar bilang aman virus corona.  Tai ledik.  Kenapa kalian tak menggunakan alat deteksi virus corona MRI 3 Tesla Magnetic Resonance Imaging 3 Tesla yg ada di RS. Cipto.  Kalian bilang itu aman  https://t.co/VGyCUtbCwP,in,[],['https://m.cnnindonesia.com/nasional/20200126112606-20-468779/sumbar-sambut-174-turis-china-dipastikan-aman-dari-corona'],[],18,223,483,[],[],https://twitter.com/HukumDan/status/1221392523383406599,False,,0,,,,,,,,[],,,,
1221391893671448578,1221391893671448578,2020-01-26 11:18:14 UTC,2020-01-26,11:18:14,+0000,921721442550480901,sydney_ev,🔋SydEV 🌿💧 #Solar #batteries sustainability.,,"When your car doesn’t distract from the sounds of #nature, birds, and a babbling brook on a #weekend impossible road trip! @ThredboResort @ScottMorrisonMP #auspol #ev #tesla #ausev #model3au  https://t.co/YPwqKZsi7o",en,"[{'screen_name': 'thredboresort', 'name': 'thredbo', 'id': '33854114'}, {'screen_name': 'scottmorrisonmp', 'name': 'scott morrison', 'id': '34116377'}]",[],[],8,13,100,"['nature', 'weekend', 'auspol', 'ev', 'tesla', 'ausev', 'model3au']",[],https://twitter.com/sydney_ev/status/1221391893671448578,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1221391755926327296/pu/img/yuekMq61yIsIrGS2.jpg,,,,,,,[],,,,
1221391527806676992,1221390209297866757,2020-01-26 11:16:47 UTC,2020-01-26,11:16:47,+0000,2453385626,raoulgmi,Raoul Pal,,@Convertbond Shorting bubbles is not the best game in town. See Tesla for details.,en,[],[],[],8,5,116,[],[],https://twitter.com/RaoulGMI/status/1221391527806676992,False,,0,,,,,,,,"[{'screen_name': 'Convertbond', 'name': 'Lawrence McDonald', 'id': '25163231'}]",,,,
