date,pos_mean_likes,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet
20170122,3.533224512400781,2.5194036943181826,3.62358620453932,3.129278508041391,3.1627202624999997,3.1044208649797573,1.0298045998067573,2.010183506311189,0.9643005224518463
20170123,1.7855260812575513,2.21930541875,2.2064281058789064,10.175185411951269,8.977852011904762,9.85236024453125,0.5392880672492949,1.3028424840476185,0.441211382580078
20170124,3.001375164648991,4.663260243650793,4.65578847701541,7.949053358479239,6.328570905555556,6.351715971192214,0.16068323292479572,0.11928023043650793,0.10360669539659367
20170125,3.2293863042280946,2.2444355165714285,2.796612347251462,5.765822944853964,7.1247472714285704,6.423037763157895,1.0047912139179416,0.6308178499428571,0.7803503773918128
20170126,2.639855313171953,3.4255687649107145,3.812828402739362,5.2526305883472455,5.795339312857143,5.033951382393617,2.10751361034808,0.7790915277589285,1.1532201461968083
20170127,12.877757930993122,11.44990665456013,11.454126125687997,1.3280358752976191,2.7199532859564157,2.6868769034173985,0.07992031676466595,0.11585462875706214,0.14471124413127412
20170128,3.37023671186183,3.3632382666064977,3.392106394123641,4.8774908473865235,4.8811903228038505,4.859776933026853,0.08560538386629202,0.0889043813507822,0.08144961479620587
20170129,1.996581498693662,0.5851559163218392,1.571102421208916,4.53021575701878,5.552555076628353,4.531385306044578,3.4732031077492964,3.8622892534176243,3.8975126785587455
20170130,2.652704240622148,3.024212243565553,2.217439231416266,3.8616637318276372,3.889176181906145,3.885642879765158,1.1779395553896639,0.7789191254329949,1.589225451893772
20170131,3.317635797004082,3.865589231036867,3.891645912554987,2.9702833489342404,2.56851317453917,2.7643974734170187,0.8549378680090705,0.7087545484562213,0.48681360573761384
20170201,2.150257466690994,1.5495738033295063,3.123093770063871,4.860098098720382,4.913219024110218,4.304762713042672,0.681952118788498,1.2295145739724456,0.26445113730167547
20170202,1.365282230763583,2.0518766100323624,1.4014178707138913,5.576213303628241,3.8972261715210355,4.924065655758078,1.3918380732990698,2.38423048329288,2.0078497828341617
20170203,4.813344934244556,2.971142161357758,4.892705385168333,2.573632273567006,2.209975082327586,2.6439692378592983,0.9463564424350909,3.1522164196408045,0.7966589940054787
20170204,2.462965970989507,3.1070444986,2.8575138740180632,3.7247781276134693,3.0956387504666676,3.2554935493215718,0.4789222542830649,0.46398311648333335,0.5536589629115731
20170205,4.011764516803503,2.782574437593985,6.637611204777518,7.4985072172961145,9.321010255639097,7.221900052927402,2.7754429116274397,2.1821306470676687,0.426203686177986
20170206,2.189014658079092,1.5608447291314556,1.90981410468737,2.6267668605295738,3.015746434272301,2.8354536513964153,0.18421897199745527,0.4234092312910799,0.25473271071550646
20170207,2.8531995269148434,2.7097001562360115,2.9004539473576503,1.4629227830961082,1.602818649559503,1.4239160932309496,0.0317037546115097,0.03530724948045145,0.023456023144293906
