,date,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet,pos_mean_replies,pos_mean_retweet,neu_mean_likes,neu_mean_replies,neu_mean_retweet,neg_mean_likes,neg_mean_replies,neg_mean_retweet,Diff
2,20170109,4.731378199636364,36.60666776963637,553.4714370018181,11.234110245454543,74.56758797727272,49.73535166451816,1.1254207365818183,7.189381538363635,1.255916845266667,25.547330228333337,55.56441180266667,2.490520968,35.467990865999994,9.730615648493334,0.1202286076066666,2.051342527946667,4.731378199636364,36.60666776963637,553.4714370018181,11.234110245454543,74.56758797727272,49.73535166451816,1.1254207365818183,7.189381538363635,1.3380504993749998,31.072678499875003,358.96128084562497,10.047492246875,167.42648696062497,35.3438517483375,10.489458389518752,12.313332151981252,2.8792900114,63.04426312479999,709.2114601589999,7.935166623000001,191.094327674,696.2067323591,8.785543046399999,184.86139002454,1.0
3,20170110,1.255916845266667,25.547330228333337,55.56441180266667,2.490520968,35.467990865999994,9.730615648493334,0.1202286076066666,2.051342527946667,0.6957520659354841,21.75312405754838,147.6431498964516,3.121779503870968,88.55503792612902,12.711076600899998,0.2469846362999999,7.014421448200001,1.255916845266667,25.547330228333337,55.56441180266667,2.490520968,35.467990865999994,9.730615648493334,0.1202286076066666,2.051342527946667,4.731378199636364,36.60666776963637,553.4714370018181,11.234110245454543,74.56758797727272,49.73535166451816,1.1254207365818183,7.189381538363635,1.3380504993749998,31.072678499875003,358.96128084562497,10.047492246875,167.42648696062497,35.3438517483375,10.489458389518752,12.313332151981252,1.0
4,20170111,0.6957520659354841,21.75312405754838,147.6431498964516,3.121779503870968,88.55503792612902,12.711076600899998,0.2469846362999999,7.014421448200001,2.1706838583333337,64.04022297750001,115.38898174166668,3.8524660008333336,69.37298836075,2.063890066591666,0.060183395075,1.0034529685666669,0.6957520659354841,21.75312405754838,147.6431498964516,3.121779503870968,88.55503792612902,12.711076600899998,0.2469846362999999,7.014421448200001,1.255916845266667,25.547330228333337,55.56441180266667,2.490520968,35.467990865999994,9.730615648493334,0.1202286076066666,2.051342527946667,4.731378199636364,36.60666776963637,553.4714370018181,11.234110245454543,74.56758797727272,49.73535166451816,1.1254207365818183,7.189381538363635,1.0
5,20170112,2.1706838583333337,64.04022297750001,115.38898174166668,3.8524660008333336,69.37298836075,2.063890066591666,0.060183395075,1.0034529685666669,0.9015837832857144,15.75872453514286,118.87815100142856,1.9102857942857143,18.732294861428567,84.591398671,4.616701910071429,16.794698149642855,2.1706838583333337,64.04022297750001,115.38898174166668,3.8524660008333336,69.37298836075,2.063890066591666,0.060183395075,1.0034529685666669,0.6957520659354841,21.75312405754838,147.6431498964516,3.121779503870968,88.55503792612902,12.711076600899998,0.2469846362999999,7.014421448200001,1.255916845266667,25.547330228333337,55.56441180266667,2.490520968,35.467990865999994,9.730615648493334,0.1202286076066666,2.051342527946667,1.0
6,20170113,0.9015837832857144,15.75872453514286,118.87815100142856,1.9102857942857143,18.732294861428567,84.591398671,4.616701910071429,16.794698149642855,7.4822432433124995,104.80533951600002,208.12303950312503,7.52442769125,103.72233947249998,11.180538311275,0.6808304042687499,6.0348354230500005,0.9015837832857144,15.75872453514286,118.87815100142856,1.9102857942857143,18.732294861428567,84.591398671,4.616701910071429,16.794698149642855,2.1706838583333337,64.04022297750001,115.38898174166668,3.8524660008333336,69.37298836075,2.063890066591666,0.060183395075,1.0034529685666669,0.6957520659354841,21.75312405754838,147.6431498964516,3.121779503870968,88.55503792612902,12.711076600899998,0.2469846362999999,7.014421448200001,1.0
10,20170117,8.466423537142857,73.18585406971428,230.4712983825714,9.334074910714287,85.37304784885715,3.162716419,0.1280731825714285,1.155385656892857,7.190521656666665,35.70683764666666,69.84258491166668,4.230757128333333,39.54951244666667,109.75046547496667,9.245387189933332,93.24364378716666,8.466423537142857,73.18585406971428,230.4712983825714,9.334074910714287,85.37304784885715,3.162716419,0.1280731825714285,1.155385656892857,4.065481579090909,18.22728091727273,84.63093723736363,4.674741848818181,29.701488745818175,3.1238364498272726,0.1688673497090908,0.7075932214545454,2.8980975791666665,27.935318299999995,169.7619495,6.462500819166666,50.69087813416667,8.561192441325,0.22273506975,3.20713920475,1.0
11,20170118,7.190521656666665,35.70683764666666,69.84258491166668,4.230757128333333,39.54951244666667,109.75046547496667,9.245387189933332,93.24364378716666,1.998768738608333,9.165257049,69.9143019525,3.381036879166666,36.402848845,5.655836326025,0.2868615756083333,1.2652271961166666,7.190521656666665,35.70683764666666,69.84258491166668,4.230757128333333,39.54951244666667,109.75046547496667,9.245387189933332,93.24364378716666,8.466423537142857,73.18585406971428,230.4712983825714,9.334074910714287,85.37304784885715,3.162716419,0.1280731825714285,1.155385656892857,4.065481579090909,18.22728091727273,84.63093723736363,4.674741848818181,29.701488745818175,3.1238364498272726,0.1688673497090908,0.7075932214545454,1.0
12,20170119,1.998768738608333,9.165257049,69.9143019525,3.381036879166666,36.402848845,5.655836326025,0.2868615756083333,1.2652271961166666,0.5203980272000001,7.280744096000001,64.243310576,2.457406688,37.417052316,31.2800224038,0.4221956685999999,6.5022048278,1.998768738608333,9.165257049,69.9143019525,3.381036879166666,36.402848845,5.655836326025,0.2868615756083333,1.2652271961166666,7.190521656666665,35.70683764666666,69.84258491166668,4.230757128333333,39.54951244666667,109.75046547496667,9.245387189933332,93.24364378716666,8.466423537142857,73.18585406971428,230.4712983825714,9.334074910714287,85.37304784885715,3.162716419,0.1280731825714285,1.155385656892857,1.0
13,20170120,0.5203980272000001,7.280744096000001,64.243310576,2.457406688,37.417052316,31.2800224038,0.4221956685999999,6.5022048278,1.8421036500000003,48.43206872833334,49.593156050000005,1.623617218333333,32.77201851333333,0.9132712703833332,0.0342791171666666,0.6292451465666667,0.5203980272000001,7.280744096000001,64.243310576,2.457406688,37.417052316,31.2800224038,0.4221956685999999,6.5022048278,1.998768738608333,9.165257049,69.9143019525,3.381036879166666,36.402848845,5.655836326025,0.2868615756083333,1.2652271961166666,7.190521656666665,35.70683764666666,69.84258491166668,4.230757128333333,39.54951244666667,109.75046547496667,9.245387189933332,93.24364378716666,1.0
16,20170123,3.760193656705883,87.62186479023525,617.2448835241175,11.631892209411768,182.93880330941172,634.2223301151353,11.902032254894118,162.2040495188,3.686398294733333,46.38486697426666,113.32023873133332,5.312350098666666,71.57636902866668,21.705057528673333,0.8012516332533334,12.572098192546663,3.760193656705883,87.62186479023525,617.2448835241175,11.631892209411768,182.93880330941172,634.2223301151353,11.902032254894118,162.2040495188,7.375062912222221,81.86721863666666,552.4466976488889,16.918981565555555,167.81710117999998,158.23573969154444,5.7059550481777785,7.760112412722222,1.8421036500000003,48.43206872833334,49.593156050000005,1.623617218333333,32.77201851333333,0.9132712703833332,0.0342791171666666,0.6292451465666667,1.0
17,20170124,3.686398294733333,46.38486697426666,113.32023873133332,5.312350098666666,71.57636902866668,21.705057528673333,0.8012516332533334,12.572098192546663,5.295802542882352,47.84084468435294,231.00005264529412,6.503702497058823,56.29754559588236,23.39423827525882,1.318142075,7.09690437207059,3.686398294733333,46.38486697426666,113.32023873133332,5.312350098666666,71.57636902866668,21.705057528673333,0.8012516332533334,12.572098192546663,3.760193656705883,87.62186479023525,617.2448835241175,11.631892209411768,182.93880330941172,634.2223301151353,11.902032254894118,162.2040495188,7.375062912222221,81.86721863666666,552.4466976488889,16.918981565555555,167.81710117999998,158.23573969154444,5.7059550481777785,7.760112412722222,1.0
18,20170125,5.295802542882352,47.84084468435294,231.00005264529412,6.503702497058823,56.29754559588236,23.39423827525882,1.318142075,7.09690437207059,2.217075251,45.43977100492308,115.8458903676923,2.7831938309999997,38.92943764684616,38.12336628484616,1.7689614855538462,12.092328551546151,5.295802542882352,47.84084468435294,231.00005264529412,6.503702497058823,56.29754559588236,23.39423827525882,1.318142075,7.09690437207059,3.686398294733333,46.38486697426666,113.32023873133332,5.312350098666666,71.57636902866668,21.705057528673333,0.8012516332533334,12.572098192546663,3.760193656705883,87.62186479023525,617.2448835241175,11.631892209411768,182.93880330941172,634.2223301151353,11.902032254894118,162.2040495188,1.0
19,20170126,2.217075251,45.43977100492308,115.8458903676923,2.7831938309999997,38.92943764684616,38.12336628484616,1.7689614855538462,12.092328551546151,0.932108275875,14.121139877624998,252.64985377875,3.770697845,63.055105565000005,13.3905227098,0.5471938433,2.8237528485125,2.217075251,45.43977100492308,115.8458903676923,2.7831938309999997,38.92943764684616,38.12336628484616,1.7689614855538462,12.092328551546151,5.295802542882352,47.84084468435294,231.00005264529412,6.503702497058823,56.29754559588236,23.39423827525882,1.318142075,7.09690437207059,3.686398294733333,46.38486697426666,113.32023873133332,5.312350098666666,71.57636902866668,21.705057528673333,0.8012516332533334,12.572098192546663,1.0
20,20170127,0.932108275875,14.121139877624998,252.64985377875,3.770697845,63.055105565000005,13.3905227098,0.5471938433,2.8237528485125,1.305712868222222,31.89215106755556,158.901576636,1.7719998535555554,43.50925440266666,3.2120578261666664,0.0333984645222222,0.7097058634666666,0.932108275875,14.121139877624998,252.64985377875,3.770697845,63.055105565000005,13.3905227098,0.5471938433,2.8237528485125,2.217075251,45.43977100492308,115.8458903676923,2.7831938309999997,38.92943764684616,38.12336628484616,1.7689614855538462,12.092328551546151,5.295802542882352,47.84084468435294,231.00005264529412,6.503702497058823,56.29754559588236,23.39423827525882,1.318142075,7.09690437207059,1.0
