Date,date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_prev,Diff
2016-12-30,20161230,43.2599983215332,43.5,42.33599853515625,42.73799896240234,23213000,0,0.0,,
2017-01-03,20170103,42.97200012207031,44.06600189208984,42.19200134277344,43.39799880981445,29616500,0,0.0,,
2017-01-04,20170104,42.95000076293945,45.59999847412109,42.86199951171875,45.39799880981445,56067500,0,0.0,42.73799896240234,0.21200180053711648
2017-01-05,20170105,45.28400039672852,45.49599838256836,44.38999938964844,45.34999847412109,29558500,0,0.0,43.39799880981445,1.8860015869140696
2017-01-06,20170106,45.38600158691406,46.0620002746582,45.09000015258789,45.80199813842773,27639500,0,0.0,45.39799880981445,-0.011997222900390625
2017-01-09,20170109,45.79399871826172,46.38399887084961,45.59999847412109,46.25600051879883,19897500,0,0.0,45.34999847412109,0.4440002441406321
2017-01-10,20170110,46.400001525878906,46.400001525878906,45.37799835205078,45.9739990234375,18300000,0,0.0,45.80199813842773,0.598003387451179
2017-01-11,20170111,45.81399917602539,45.99599838256836,45.33599853515625,45.94599914550781,18254000,0,0.0,46.25600051879883,-0.4420013427734375
2017-01-12,20170112,45.8120002746582,46.13999938964844,45.11600112915039,45.917999267578125,18951000,0,0.0,45.9739990234375,-0.16199874877929688
2017-01-13,20170113,46.0,47.56999969482422,45.917999267578125,47.54999923706055,30465000,0,0.0,45.94599914550781,0.0540008544921875
2017-01-17,20170117,47.34000015258789,47.992000579833984,46.874000549316406,47.11600112915039,23087500,0,0.0,45.917999267578125,1.4220008850097656
2017-01-18,20170118,47.33000183105469,47.94200134277344,47.11600112915039,47.672000885009766,18845000,0,0.0,47.54999923706055,-0.21999740600585938
2017-01-19,20170119,49.45000076293945,49.73600006103516,48.150001525878906,48.75199890136719,38661500,0,0.0,47.11600112915039,2.3339996337890625
2017-01-20,20170120,49.09199905395508,49.20000076293945,48.60200119018555,48.94599914550781,21021500,0,0.0,47.672000885009766,1.4199981689453125
2017-01-23,20170123,49.16999816894531,50.178001403808594,49.09999847412109,49.78400039672852,31314500,0,0.0,48.75199890136719,0.417999267578125
2017-01-24,20170124,50.0,50.959999084472656,49.93000030517578,50.922000885009766,24827500,0,0.0,48.94599914550781,1.0540008544921875
2017-01-25,20170125,51.46200180053711,51.69200134277344,50.36000061035156,50.89400100708008,25713000,0,0.0,49.78400039672852,1.6780014038085866
2017-01-26,20170126,50.858001708984375,51.14799880981445,50.150001525878906,50.50199890136719,15760500,0,0.0,50.922000885009766,-0.06399917602539062
2017-01-27,20170127,50.2760009765625,50.59999847412109,49.70399856567383,50.59000015258789,15831500,0,0.0,50.89400100708008,-0.6180000305175781
2017-01-30,20170130,50.50600051879883,51.05799865722656,49.41999816894531,50.1259994506836,19005500,0,0.0,50.50199890136719,0.004001617431640625
2017-01-31,20170131,49.84799957275391,51.178001403808594,49.540000915527344,50.38600158691406,20580500,0,0.0,50.59000015258789,-0.7420005798339773
2017-02-01,20170201,50.61000061035156,50.63999938964844,49.810001373291016,49.84799957275391,19794000,0,0.0,50.1259994506836,0.48400115966796164
2017-02-02,20170202,49.667999267578125,50.48400115966797,49.54199981689453,50.310001373291016,12499000,0,0.0,50.38600158691406,-0.7180023193359375
2017-02-03,20170203,50.38199996948242,50.43600082397461,49.93600082397461,50.26599884033203,10933500,0,0.0,49.84799957275391,0.5340003967285085
2017-02-06,20170206,50.20000076293945,51.56399917602539,50.1259994506836,51.55400085449219,17812500,0,0.0,50.310001373291016,-0.1100006103515625
2017-02-07,20170207,51.63800048828125,52.0,51.28400039672852,51.49599838256836,21224000,0,0.0,50.26599884033203,1.3720016479492188
2017-02-08,20170208,51.470001220703125,52.672000885009766,51.2400016784668,52.41600036621094,19665000,0,0.0,51.55400085449219,-0.0839996337890625
2017-02-09,20170209,53.25,54.23600006103516,53.22999954223633,53.84000015258789,39101000,0,0.0,51.49599838256836,1.7540016174316406
2017-02-10,20170210,53.95800018310547,54.18999862670898,53.22200012207031,53.84600067138672,18098500,0,0.0,52.41600036621094,1.5419998168945312
2017-02-13,20170213,54.14799880981445,56.15800094604492,54.10200119018555,56.119998931884766,35148000,0,0.0,53.84000015258789,0.3079986572265625
2017-02-14,20170214,55.805999755859375,57.47800064086914,55.72200012207031,56.19599914550781,36726000,0,0.0,53.84600067138672,1.9599990844726562
2017-02-15,20170215,56.0,56.448001861572266,55.28799819946289,55.95199966430664,24739500,0,0.0,56.119998931884766,-0.11999893188476562
2017-02-16,20170216,55.52000045776367,56.0,53.70000076293945,53.790000915527344,35386500,0,0.0,56.19599914550781,-0.6759986877441406
2017-02-17,20170217,53.15999984741211,54.57799911499024,52.83000183105469,54.44599914550781,31285500,0,0.0,55.95199966430664,-2.7919998168945312
2017-02-21,20170221,55.09000015258789,56.27999877929688,54.80199813842773,55.47800064086914,28383500,0,0.0,53.790000915527344,1.2999992370605469
2017-02-22,20170222,56.0620002746582,56.68999862670898,54.52000045776367,54.70199966430664,43775000,0,0.0,54.44599914550781,1.6160011291503906
2017-02-23,20170223,52.79999923706055,52.93199920654297,51.11199951171875,51.198001861572266,74576000,0,0.0,55.47800064086914,-2.6780014038085938
2017-02-24,20170224,50.53200149536133,51.650001525878906,50.040000915527344,51.400001525878906,40858000,0,0.0,54.70199966430664,-4.1699981689453125
2017-02-27,20170227,49.63399887084961,49.672000885009766,48.402000427246094,49.24599838256836,57304000,0,0.0,51.198001861572266,-1.5640029907226562
2017-02-28,20170228,48.8380012512207,50.20000076293945,48.77999877929688,49.99800109863281,30390500,0,0.0,51.400001525878906,-2.562000274658203
2017-03-01,20170301,50.83599853515625,50.970001220703125,49.821998596191406,50.00400161743164,24047500,0,0.0,49.24599838256836,1.5900001525878906
