Date,date,Diff
2017-10-26,20171026,-1.0
2017-10-27,20171027,-1.0
2017-10-30,20171030,-1.0
2017-10-31,20171031,-1.0
2017-11-01,20171101,1.0
2017-11-02,20171102,-1.0
2017-11-03,20171103,-1.0
2017-11-06,20171106,1.0
2017-11-07,20171107,-1.0
2017-11-08,20171108,1.0
2017-11-09,20171109,-1.0
2017-11-10,20171110,-1.0
2017-11-13,20171113,-1.0
2017-11-14,20171114,1.0
2017-11-15,20171115,-1.0
2017-11-16,20171116,1.0
2017-11-17,20171117,1.0
2017-11-20,20171120,1.0
2017-11-21,20171121,-1.0
2017-11-22,20171122,1.0
2017-11-24,20171124,-1.0
2017-11-27,20171127,1.0
2017-11-28,20171128,1.0
2017-11-29,20171129,1.0
2017-11-30,20171130,-1.0
2017-12-01,20171201,-1.0
2017-12-04,20171204,-1.0
2017-12-05,20171205,-1.0
2017-12-06,20171206,-1.0
2017-12-07,20171207,1.0
2017-12-08,20171208,1.0
2017-12-11,20171211,1.0
2017-12-12,20171212,1.0
2017-12-13,20171213,1.0
2017-12-14,20171214,-1.0
2017-12-15,20171215,1.0
2017-12-18,20171218,1.0
2017-12-19,20171219,-1.0
2017-12-20,20171220,-1.0
2017-12-21,20171221,-1.0
2017-12-22,20171222,1.0
2017-12-26,20171226,-1.0
2017-12-27,20171227,-1.0
2017-12-28,20171228,-1.0
2017-12-29,20171229,1.0
2018-01-02,20180102,-1.0
2018-01-03,20180103,1.0
2018-01-04,20180104,-1.0
2018-01-05,20180105,-1.0
2018-01-08,20180108,1.0
2018-01-09,20180109,1.0
2018-01-10,20180110,-1.0
2018-01-11,20180111,1.0
2018-01-12,20180112,1.0
2018-01-16,20180116,-1.0
2018-01-17,20180117,1.0
2018-01-18,20180118,1.0
2018-01-19,20180119,-1.0
2018-01-22,20180122,1.0
2018-01-23,20180123,1.0
2018-01-24,20180124,1.0
2018-01-25,20180125,-1.0
2018-01-26,20180126,-1.0
2018-01-29,20180129,1.0
2018-01-30,20180130,1.0
2018-01-31,20180131,-1.0
2018-02-01,20180201,1.0
2018-02-02,20180202,-1.0
2018-02-05,20180205,-1.0
2018-02-06,20180206,-1.0
2018-02-07,20180207,1.0
2018-02-08,20180208,1.0
2018-02-09,20180209,-1.0
2018-02-12,20180212,1.0
2018-02-13,20180213,1.0
2018-02-14,20180214,1.0
2018-02-15,20180215,1.0
2018-02-16,20180216,1.0
2018-02-20,20180220,1.0
2018-02-21,20180221,1.0
2018-02-22,20180222,1.0
2018-02-23,20180223,1.0
2018-02-26,20180226,1.0
2018-02-27,20180227,1.0
2018-02-28,20180228,-1.0
2018-03-01,20180301,-1.0
2018-03-02,20180302,-1.0
2018-03-05,20180305,1.0
2018-03-06,20180306,-1.0
2018-03-07,20180307,-1.0
2018-03-08,20180308,1.0
2018-03-09,20180309,-1.0
2018-03-12,20180312,-1.0
2018-03-13,20180313,1.0
2018-03-14,20180314,-1.0
2018-03-15,20180315,-1.0
2018-03-16,20180316,-1.0
2018-03-19,20180319,-1.0
2018-03-20,20180320,-1.0
2018-03-21,20180321,-1.0
2018-03-22,20180322,1.0
2018-03-23,20180323,-1.0
2018-03-26,20180326,-1.0
2018-03-27,20180327,1.0
2018-03-28,20180328,-1.0
2018-03-29,20180329,-1.0
2018-04-02,20180402,-1.0
2018-04-03,20180403,1.0
2018-04-04,20180404,1.0
2018-04-05,20180405,1.0
2018-04-06,20180406,1.0
2018-04-09,20180409,-1.0
2018-04-10,20180410,-1.0
2018-04-11,20180411,1.0
2018-04-12,20180412,-1.0
2018-04-13,20180413,1.0
2018-04-16,20180416,1.0
2018-04-17,20180417,-1.0
2018-04-18,20180418,-1.0
2018-04-19,20180419,1.0
2018-04-20,20180420,1.0
2018-04-23,20180423,-1.0
2018-04-24,20180424,-1.0
2018-04-25,20180425,1.0
2018-04-26,20180426,-1.0
2018-04-27,20180427,1.0
2018-04-30,20180430,1.0
2018-05-01,20180501,-1.0
2018-05-02,20180502,1.0
2018-05-03,20180503,-1.0
2018-05-04,20180504,-1.0
2018-05-07,20180507,1.0
2018-05-08,20180508,1.0
2018-05-09,20180509,-1.0
2018-05-10,20180510,1.0
2018-05-11,20180511,1.0
2018-05-14,20180514,-1.0
2018-05-15,20180515,-1.0
2018-05-16,20180516,-1.0
2018-05-17,20180517,1.0
2018-05-18,20180518,-1.0
2018-05-21,20180521,-1.0
2018-05-22,20180522,1.0
2018-05-23,20180523,-1.0
2018-05-24,20180524,1.0
2018-05-25,20180525,-1.0
2018-05-29,20180529,1.0
2018-05-30,20180530,1.0
2018-05-31,20180531,1.0
2018-06-01,20180601,-1.0
2018-06-04,20180604,1.0
2018-06-05,20180605,1.0
2018-06-06,20180606,1.0
2018-06-07,20180607,1.0
2018-06-08,20180608,-1.0
2018-06-11,20180611,1.0
2018-06-12,20180612,1.0
2018-06-13,20180613,1.0
2018-06-14,20180614,1.0
2018-06-15,20180615,1.0
2018-06-18,20180618,-1.0
2018-06-19,20180619,1.0
2018-06-20,20180620,-1.0
2018-06-21,20180621,1.0
2018-06-22,20180622,-1.0
2018-06-25,20180625,-1.0
2018-06-26,20180626,1.0
2018-06-27,20180627,1.0
2018-06-28,20180628,1.0
2018-06-29,20180629,1.0
2018-07-02,20180702,1.0
2018-07-03,20180703,-1.0
2018-07-05,20180705,-1.0
2018-07-06,20180706,-1.0
2018-07-09,20180709,1.0
2018-07-10,20180710,1.0
2018-07-11,20180711,-1.0
2018-07-12,20180712,-1.0
2018-07-13,20180713,-1.0
2018-07-16,20180716,-1.0
2018-07-17,20180717,-1.0
2018-07-18,20180718,1.0
2018-07-19,20180719,-1.0
2018-07-20,20180720,-1.0
2018-07-23,20180723,-1.0
2018-07-24,20180724,-1.0
2018-07-25,20180725,-1.0
2018-07-26,20180726,1.0
2018-07-27,20180727,-1.0
2018-07-30,20180730,-1.0
2018-07-31,20180731,-1.0
2018-08-01,20180801,1.0
2018-08-02,20180802,1.0
