Date,date,Diff
2020-08-04,20200804,1.0
2020-08-05,20200805,1.0
2020-08-06,20200806,1.0
2020-08-07,20200807,1.0
2020-08-10,20200810,-1.0
2020-08-11,20200811,-1.0
2020-08-12,20200812,1.0
2020-08-13,20200813,1.0
2020-08-14,20200814,1.0
2020-08-17,20200817,1.0
2020-08-18,20200818,1.0
2020-08-19,20200819,1.0
2020-08-20,20200820,-1.0
2020-08-21,20200821,1.0
2020-08-24,20200824,1.0
2020-08-25,20200825,-1.0
2020-08-26,20200826,1.0
2020-08-27,20200827,1.0
2020-08-28,20200828,1.0
2020-08-31,20200831,-1.0
2020-09-01,20200901,1.0
2020-09-02,20200902,-1.0
2020-09-03,20200903,-1.0
2020-09-04,20200904,-1.0
2020-09-08,20200908,-1.0
2020-09-09,20200909,-1.0
2020-09-10,20200910,1.0
2020-09-11,20200911,1.0
2020-09-14,20200914,1.0
2020-09-15,20200915,1.0
2020-09-16,20200916,1.0
2020-09-17,20200917,-1.0
2020-09-18,20200918,1.0
2020-09-21,20200921,1.0
2020-09-22,20200922,-1.0
2020-09-23,20200923,-1.0
2020-09-24,20200924,-1.0
2020-09-25,20200925,1.0
2020-09-28,20200928,1.0
2020-09-29,20200929,1.0
2020-09-30,20200930,1.0
2020-10-01,20201001,1.0
2020-10-02,20201002,-1.0
2020-10-05,20201005,-1.0
2020-10-06,20201006,1.0
2020-10-07,20201007,-1.0
2020-10-08,20201008,1.0
2020-10-09,20201009,1.0
2020-10-12,20201012,1.0
2020-10-13,20201013,1.0
2020-10-14,20201014,1.0
2020-10-15,20201015,1.0
2020-10-16,20201016,-1.0
2020-10-19,20201019,-1.0
2020-10-20,20201020,-1.0
2020-10-21,20201021,-1.0
2020-10-22,20201022,1.0
2020-10-23,20201023,-1.0
2020-10-26,20201026,-1.0
2020-10-27,20201027,1.0
2020-10-28,20201028,-1.0
2020-10-29,20201029,-1.0
2020-10-30,20201030,1.0
2020-11-02,20201102,-1.0
2020-11-03,20201103,1.0
2020-11-04,20201104,1.0
2020-11-05,20201105,1.0
2020-11-06,20201106,1.0
2020-11-09,20201109,1.0
2020-11-10,20201110,-1.0
2020-11-11,20201111,-1.0
2020-11-12,20201112,1.0
2020-11-13,20201113,-1.0
2020-11-16,20201116,-1.0
2020-11-17,20201117,1.0
2020-11-18,20201118,1.0
2020-11-19,20201119,1.0
2020-11-20,20201120,1.0
2020-11-23,20201123,1.0
2020-11-24,20201124,1.0
2020-11-25,20201125,1.0
2020-11-27,20201127,1.0
2020-11-30,20201130,1.0
2020-12-01,20201201,1.0
2020-12-02,20201202,-1.0
2020-12-03,20201203,1.0
2020-12-04,20201204,1.0
2020-12-07,20201207,1.0
2020-12-08,20201208,1.0
2020-12-09,20201209,1.0
2020-12-10,20201210,-1.0
2020-12-11,20201211,1.0
2020-12-14,20201214,-1.0
2020-12-15,20201215,1.0
2020-12-16,20201216,-1.0
2020-12-17,20201217,-1.0
2020-12-18,20201218,1.0
2020-12-21,20201221,1.0
2020-12-22,20201222,-1.0
2020-12-23,20201223,-1.0
2020-12-24,20201224,1.0
2020-12-28,20201228,1.0
2020-12-29,20201229,-1.0
2020-12-30,20201230,1.0
2020-12-31,20201231,1.0
2021-01-04,20210104,1.0
