,date,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Diff
2,20170109,0.2167664688228185,0.7255446674193547,0.2083170746795154,0.0749455015483871,0.1172833556022119,0.2293684219407434,0.5855646506666666,0.2341679139030775,0.1009456777199999,0.2307630763045594,0.2328930324199803,0.5228117936363635,0.1682540364119724,0.0793121595818181,0.167569738781576,0.2091380462245571,0.6201329124999999,0.2308816347691712,0.1192194422999999,0.2410724098663959,0.305864313376651,0.369249302,0.1987729709689183,0.42644078926,0.2894507837510023,1.0
3,20170110,0.3215600109841577,0.5241828444166667,0.3153855167513414,0.0093735850166666,0.0129082467568295,0.2167664688228185,0.7255446674193547,0.2083170746795154,0.0749455015483871,0.1172833556022119,0.2293684219407434,0.5855646506666666,0.2341679139030775,0.1009456777199999,0.2307630763045594,0.2328930324199803,0.5228117936363635,0.1682540364119724,0.0793121595818181,0.167569738781576,0.2091380462245571,0.6201329124999999,0.2308816347691712,0.1192194422999999,0.2410724098663959,1.0
4,20170111,0.3636545897819427,0.31518279,0.2598576039700531,0.3407800808571428,0.3983411280490509,0.3215600109841577,0.5241828444166667,0.3153855167513414,0.0093735850166666,0.0129082467568295,0.2167664688228185,0.7255446674193547,0.2083170746795154,0.0749455015483871,0.1172833556022119,0.2293684219407434,0.5855646506666666,0.2341679139030775,0.1009456777199999,0.2307630763045594,0.2328930324199803,0.5228117936363635,0.1682540364119724,0.0793121595818181,0.167569738781576,-1.0
5,20170112,0.2444498803530411,0.6364815006250002,0.2536466665840616,0.0860578360687499,0.2096888268627137,0.3636545897819427,0.31518279,0.2598576039700531,0.3407800808571428,0.3983411280490509,0.3215600109841577,0.5241828444166667,0.3153855167513414,0.0093735850166666,0.0129082467568295,0.2167664688228185,0.7255446674193547,0.2083170746795154,0.0749455015483871,0.1172833556022119,0.2293684219407434,0.5855646506666666,0.2341679139030775,0.1009456777199999,0.2307630763045594,1.0
6,20170113,0.1705046617033663,0.5560577608333331,0.1492212180810691,0.0263305956,0.0592640347266826,0.2444498803530411,0.6364815006250002,0.2536466665840616,0.0860578360687499,0.2096888268627137,0.3636545897819427,0.31518279,0.2598576039700531,0.3407800808571428,0.3983411280490509,0.3215600109841577,0.5241828444166667,0.3153855167513414,0.0093735850166666,0.0129082467568295,0.2167664688228185,0.7255446674193547,0.2083170746795154,0.0749455015483871,0.1172833556022119,1.0
10,20170117,0.217869828383908,0.6548624774999999,0.2582834941432134,0.1011626064916666,0.2496193515871331,0.2962365449083051,0.4602206325,0.2823791894688388,0.1451297063,0.3095403961780565,0.294794676195848,0.5890108967142857,0.286772999940861,0.0124087966428571,0.0144610883800759,0.3348967521525658,0.5604377053636364,0.3285084004983415,0.0143175253181818,0.0162530801966974,0.1705046617033663,0.5560577608333331,0.1492212180810691,0.0263305956,0.0592640347266826,1.0
11,20170118,0.0676247747010097,0.6459257440000001,0.209162114947785,0.2255560825999999,0.269022403787202,0.217869828383908,0.6548624774999999,0.2582834941432134,0.1011626064916666,0.2496193515871331,0.2962365449083051,0.4602206325,0.2823791894688388,0.1451297063,0.3095403961780565,0.294794676195848,0.5890108967142857,0.286772999940861,0.0124087966428571,0.0144610883800759,0.3348967521525658,0.5604377053636364,0.3285084004983415,0.0143175253181818,0.0162530801966974,1.0
12,20170119,0.1900859365903686,0.5067523216666667,0.1819642846886152,0.0105446444833333,0.0137249947288192,0.0676247747010097,0.6459257440000001,0.209162114947785,0.2255560825999999,0.269022403787202,0.217869828383908,0.6548624774999999,0.2582834941432134,0.1011626064916666,0.2496193515871331,0.2962365449083051,0.4602206325,0.2823791894688388,0.1451297063,0.3095403961780565,0.294794676195848,0.5890108967142857,0.286772999940861,0.0124087966428571,0.0144610883800759,1.0
13,20170120,0.1674842884509783,0.68368304,0.2168375140998421,0.1053921466333333,0.1917996285117772,0.1900859365903686,0.5067523216666667,0.1819642846886152,0.0105446444833333,0.0137249947288192,0.0676247747010097,0.6459257440000001,0.209162114947785,0.2255560825999999,0.269022403787202,0.217869828383908,0.6548624774999999,0.2582834941432134,0.1011626064916666,0.2496193515871331,0.2962365449083051,0.4602206325,0.2823791894688388,0.1451297063,0.3095403961780565,-1.0
16,20170123,0.2438929069195834,0.6120250900000002,0.2077014311393322,0.1148237277705882,0.1527095351921617,0.3149933059923636,0.4525209502666667,0.2198563884025306,0.1535222112866666,0.2379099010370924,0.2700607835784933,0.5742708394117646,0.2412568113412834,0.1795489188294117,0.2303840293463011,0.1674842884509783,0.68368304,0.2168375140998421,0.1053921466333333,0.1917996285117772,0.1900859365903686,0.5067523216666667,0.1819642846886152,0.0105446444833333,0.0137249947288192,1.0
