,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Date,Diff
0,0.344084802549048,0.4008213397,0.2817037411217386,0.0988729808733333,0.2119049139770225,0.2897895347719772,0.578190077173913,0.2544918764851498,0.1487385695304347,0.2161786126905578,0.1843054611836162,0.4710572125,0.1799913456705893,0.0098252584,0.0068831578872436,0.0780317376493337,0.81568439,0.0764046685430831,0.0068106113599999,0.0021117298484822,0.2869578409863432,0.5161314637619047,0.2627606324222434,0.2297045086952381,0.2902997291498526,0.1802330777169031,0.6711394027272728,0.1596801333973927,0.0848694059909091,0.1290224587701752,0.2966619511582812,0.5616995035,0.3210230952293278,0.114402879625,0.2865124085040604,2014-01-09,-1.0
1,0.3069079613091397,0.4583644152727272,0.306520213329433,0.0079690132636363,0.005117285471998,0.344084802549048,0.4008213397,0.2817037411217386,0.0988729808733333,0.2119049139770225,0.2897895347719772,0.578190077173913,0.2544918764851498,0.1487385695304347,0.2161786126905578,0.1843054611836162,0.4710572125,0.1799913456705893,0.0098252584,0.0068831578872436,0.0780317376493337,0.81568439,0.0764046685430831,0.0068106113599999,0.0021117298484822,0.2869578409863432,0.5161314637619047,0.2627606324222434,0.2297045086952381,0.2902997291498526,0.1802330777169031,0.6711394027272728,0.1596801333973927,0.0848694059909091,0.1290224587701752,2014-01-10,-1.0
4,0.3024176496528543,0.4881808442857142,0.3015098646315855,0.0150071965,0.0155300210629058,0.2586237889009745,0.5211046776,0.2647227624057383,0.147610175944,0.2973270146601215,0.2844892180899424,0.5819458686666668,0.2436501094065385,0.1080018540555555,0.111325856129699,0.3069079613091397,0.4583644152727272,0.306520213329433,0.0079690132636363,0.005117285471998,0.344084802549048,0.4008213397,0.2817037411217386,0.0988729808733333,0.2119049139770225,0.2897895347719772,0.578190077173913,0.2544918764851498,0.1487385695304347,0.2161786126905578,0.1843054611836162,0.4710572125,0.1799913456705893,0.0098252584,0.0068831578872436,2014-01-13,-1.0
5,0.1915668889113484,0.7000216925,0.1911548420846426,0.00849195175,0.0021399648680203,0.3024176496528543,0.4881808442857142,0.3015098646315855,0.0150071965,0.0155300210629058,0.2586237889009745,0.5211046776,0.2647227624057383,0.147610175944,0.2973270146601215,0.2844892180899424,0.5819458686666668,0.2436501094065385,0.1080018540555555,0.111325856129699,0.3069079613091397,0.4583644152727272,0.306520213329433,0.0079690132636363,0.005117285471998,0.344084802549048,0.4008213397,0.2817037411217386,0.0988729808733333,0.2119049139770225,0.2897895347719772,0.578190077173913,0.2544918764851498,0.1487385695304347,0.2161786126905578,2014-01-14,1.0
6,0.3098337211277548,0.5782596,0.2840566475365394,0.1045648063285714,0.1790590859819915,0.1915668889113484,0.7000216925,0.1911548420846426,0.00849195175,0.0021399648680203,0.3024176496528543,0.4881808442857142,0.3015098646315855,0.0150071965,0.0155300210629058,0.2586237889009745,0.5211046776,0.2647227624057383,0.147610175944,0.2973270146601215,0.2844892180899424,0.5819458686666668,0.2436501094065385,0.1080018540555555,0.111325856129699,0.3069079613091397,0.4583644152727272,0.306520213329433,0.0079690132636363,0.005117285471998,0.344084802549048,0.4008213397,0.2817037411217386,0.0988729808733333,0.2119049139770225,2014-01-15,1.0
7,0.2995971282336595,0.5257054116666667,0.2806858117671726,0.0984855632083333,0.2252397393258262,0.3098337211277548,0.5782596,0.2840566475365394,0.1045648063285714,0.1790590859819915,0.1915668889113484,0.7000216925,0.1911548420846426,0.00849195175,0.0021399648680203,0.3024176496528543,0.4881808442857142,0.3015098646315855,0.0150071965,0.0155300210629058,0.2586237889009745,0.5211046776,0.2647227624057383,0.147610175944,0.2973270146601215,0.2844892180899424,0.5819458686666668,0.2436501094065385,0.1080018540555555,0.111325856129699,0.3069079613091397,0.4583644152727272,0.306520213329433,0.0079690132636363,0.005117285471998,2014-01-16,1.0
10,0.3418051514523467,0.39707748,0.3350287680349701,0.0077180888666666,0.0069116602429177,0.2565373485100661,0.5907519147999999,0.2434599771184908,0.086966313064,0.200371109507791,0.3085305426732249,0.5289483986842106,0.2895528313417008,0.0874800585578947,0.1932206283130188,0.2995971282336595,0.5257054116666667,0.2806858117671726,0.0984855632083333,0.2252397393258262,0.3098337211277548,0.5782596,0.2840566475365394,0.1045648063285714,0.1790590859819915,0.1915668889113484,0.7000216925,0.1911548420846426,0.00849195175,0.0021399648680203,0.3024176496528543,0.4881808442857142,0.3015098646315855,0.0150071965,0.0155300210629058,2014-01-21,-1.0
11,0.3107319937424125,0.5327621694,0.2964354818023322,0.0198810245399999,0.0204341920012464,0.3418051514523467,0.39707748,0.3350287680349701,0.0077180888666666,0.0069116602429177,0.2565373485100661,0.5907519147999999,0.2434599771184908,0.086966313064,0.200371109507791,0.3085305426732249,0.5289483986842106,0.2895528313417008,0.0874800585578947,0.1932206283130188,0.2995971282336595,0.5257054116666667,0.2806858117671726,0.0984855632083333,0.2252397393258262,0.3098337211277548,0.5782596,0.2840566475365394,0.1045648063285714,0.1790590859819915,0.1915668889113484,0.7000216925,0.1911548420846426,0.00849195175,0.0021399648680203,2014-01-22,1.0
12,0.1968777992515101,0.6629098053846155,0.2200993547859731,0.0803048753461538,0.2020702354692528,0.3107319937424125,0.5327621694,0.2964354818023322,0.0198810245399999,0.0204341920012464,0.3418051514523467,0.39707748,0.3350287680349701,0.0077180888666666,0.0069116602429177,0.2565373485100661,0.5907519147999999,0.2434599771184908,0.086966313064,0.200371109507791,0.3085305426732249,0.5289483986842106,0.2895528313417008,0.0874800585578947,0.1932206283130188,0.2995971282336595,0.5257054116666667,0.2806858117671726,0.0984855632083333,0.2252397393258262,0.3098337211277548,0.5782596,0.2840566475365394,0.1045648063285714,0.1790590859819915,2014-01-23,1.0
13,0.2672912284673164,0.5616524997142858,0.2448688596250639,0.1280577304514285,0.2208751332588715,0.1968777992515101,0.6629098053846155,0.2200993547859731,0.0803048753461538,0.2020702354692528,0.3107319937424125,0.5327621694,0.2964354818023322,0.0198810245399999,0.0204341920012464,0.3418051514523467,0.39707748,0.3350287680349701,0.0077180888666666,0.0069116602429177,0.2565373485100661,0.5907519147999999,0.2434599771184908,0.086966313064,0.200371109507791,0.3085305426732249,0.5289483986842106,0.2895528313417008,0.0874800585578947,0.1932206283130188,0.2995971282336595,0.5257054116666667,0.2806858117671726,0.0984855632083333,0.2252397393258262,2014-01-24,-1.0
